ampur,specialpp_code,specialpp_label,icd_code,icd_category,patient_count
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F29,โรคจิตอื่นๆ (F21-F29),11
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F31,โรคอารมณ์สองขั้ว (F31),2
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F32,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",3
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F41,โรควิตกกังวล (F40-F48),1
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F51,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",2
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F54,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",3
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F55,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F62,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
ควนโดน,1B030,ทำร้ายตนเองรุนแรง (1B030),F03,โรคสมองเสื่อม (F00-F03),1
ควนโดน,1B030,ทำร้ายตนเองรุนแรง (1B030),F12,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",1
ควนโดน,1B030,ทำร้ายตนเองรุนแรง (1B030),F15,ติดยาบ้า Amphetamine (F15),1
ควนโดน,1B030,ทำร้ายตนเองรุนแรง (1B030),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",1
ควนโดน,1B030,ทำร้ายตนเองรุนแรง (1B030),F31,โรคอารมณ์สองขั้ว (F31),1
ควนโดน,1B030,ทำร้ายตนเองรุนแรง (1B030),F32,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",10
ควนโดน,1B030,ทำร้ายตนเองรุนแรง (1B030),F43,โรควิตกกังวล (F40-F48),2
ควนโดน,1B030,ทำร้ายตนเองรุนแรง (1B030),X60,พยายามฆ่าตัวตาย/ตั้งใจทำร้ายตนเอง (X60-X84),3
ควนโดน,1B030,ทำร้ายตนเองรุนแรง (1B030),X70,พยายามฆ่าตัวตาย/ตั้งใจทำร้ายตนเอง (X60-X84),1
